short,long,sl,tp,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct
40,150,0.02,0.02,-5.08,-99.95,15.78,98,46.48
40,200,0.02,0,-5.17,-100,84.45,1224,42.14
30,150,0.01,0.02,-5.24,-99.99,18.34,118,46.58
30,150,0.02,0.02,-5.24,-99.99,18.34,118,46.58
40,150,0.005,0.02,-5.24,-99.95,16.1,100,46.46
40,150,0.01,0.01,-5.26,-99.97,17.1,108,46.43
10,150,0,0,-5.29,-100,99.98,5618,23.41
30,150,0.005,0.02,-5.29,-99.99,18.6,120,46.57
30,200,0,0.005,-5.3,-100,79.87,1052,42.65
40,200,0.01,0,-5.31,-100,84.73,1236,42.09
40,150,0.005,0.01,-5.37,-99.98,17.64,112,46.41
30,200,0.01,0.01,-5.44,-99.97,16.67,104,46.71
30,200,0.005,0.02,-5.47,-99.94,15.68,96,46.74
30,200,0.01,0.02,-5.47,-99.94,15.68,96,46.74
30,200,0.02,0.02,-5.47,-99.94,15.68,96,46.74
20,250,0,0,-5.48,-100,99.98,5624,23.43
30,200,0.005,0.01,-5.48,-99.97,17.18,108,46.69
40,150,0.02,0.01,-5.5,-99.97,16.95,106,46.44
20,200,0.02,0,-5.51,-100,87.97,1394,41.34
50,100,0,0.01,-5.51,-100,73.75,874,43.28
50,200,0.005,0,-5.51,-100,85.84,1286,41.83
50,100,0,0.02,-5.61,-100,67.44,730,43.88
10,150,0,0.02,-5.63,-100,70.06,786,43.69
20,200,0.01,0,-5.65,-100,88.19,1406,41.29
50,100,0,0.005,-5.65,-100,81.64,1112,42.29
30,150,0.005,0.01,-5.66,-99.99,19.95,130,46.52
30,150,0.01,0.01,-5.66,-99.99,19.47,126,46.54
30,150,0.02,0.01,-5.66,-99.99,19.47,126,46.54
30,200,0.02,0.01,-5.67,-99.96,16.51,102,46.72
40,200,0.005,0,-5.7,-100,86.64,1324,41.73
20,200,0.005,0.02,-5.75,-99.99,19.74,128,46.62
20,200,0.01,0.02,-5.75,-99.99,19.74,128,46.62
20,200,0.02,0.02,-5.75,-99.99,19.74,128,46.62
30,150,0,0,-5.77,-100,99.98,5614,23.39
20,200,0.005,0,-5.8,-100,89.5,1484,40.97
30,150,0.02,0,-5.92,-100,87.99,1394,41.26
20,200,0.01,0.01,-5.95,-100,20.54,134,46.58
10,150,0,0.01,-5.96,-100,75.1,908,43.18
20,200,0.005,0.01,-5.99,-100,21.03,138,46.57
30,150,0.01,0,-6.06,-100,88.21,1406,41.21
20,200,0.02,0.01,-6.19,-100,20.63,134,46.59
30,150,0.005,0,-6.33,-100,89.52,1484,40.87
50,200,0,0,-6.44,-100,99.98,5648,23.53
50,100,0.005,0.005,-6.48,-100,22.13,146,46.4
10,200,0.02,0,-6.55,-100,91.25,1604,40.33
50,150,0.02,0,-6.57,-100,85.44,1264,41.69
50,150,0.01,0,-6.71,-100,85.71,1276,41.64
10,200,0.01,0,-6.75,-100,91.29,1606,40.33
30,200,0,0,-6.82,-100,99.98,5632,23.47
40,150,0.02,0,-6.88,-100,86.11,1294,41.49
50,150,0.005,0,-6.9,-100,87.41,1360,41.28
20,150,0,0.005,-6.92,-100,84.23,1210,41.7
40,150,0.01,0,-7.02,-100,86.36,1306,41.44
30,200,0.02,0,-7.03,-100,85.3,1256,41.91
50,100,0.01,0.005,-7.09,-100,21.42,138,46.43
50,100,0.02,0.005,-7.09,-100,21.42,138,46.43
30,200,0.01,0,-7.17,-100,85.57,1268,41.86
10,200,0.005,0,-7.27,-100,91.71,1638,40.18
20,150,0.005,0.005,-7.34,-100,27.38,190,46.15
20,150,0,0.02,-7.36,-100,72.77,844,43.25
10,100,0,0.005,-7.37,-100,84.83,1234,43.08
40,150,0.005,0,-7.41,-100,88.17,1400,41.03
10,200,0,0,-7.46,-100,99.98,5600,23.33
20,150,0,0.01,-7.49,-100,78.65,1006,42.56
30,200,0.005,0,-7.5,-100,87.22,1348,41.52
50,100,0.01,0.01,-7.51,-99.99,19.2,118,46.52
50,100,0.02,0.01,-7.51,-99.99,19.2,118,46.52
50,100,0.01,0.02,-7.55,-99.99,18.25,110,46.55
50,100,0.02,0.02,-7.55,-99.99,18.25,110,46.55
50,100,0.005,0.02,-7.61,-99.99,18.51,112,46.54
20,150,0.01,0.005,-7.64,-100,26.83,184,46.18
20,150,0.02,0.005,-7.64,-100,26.83,184,46.18
50,100,0.005,0.01,-7.78,-99.99,20.02,124,46.49
10,150,0.005,0.005,-7.81,-100,32.18,234,46.23
30,100,0,0.01,-7.95,-100,79.58,1034,42.98
40,100,0,0.01,-8.02,-100,77.99,984,43.15
20,150,0.01,0.01,-8.12,-100,25,166,46.26
20,150,0.02,0.01,-8.12,-100,25,166,46.26
20,150,0.005,0.02,-8.15,-100,23.88,156,46.3
20,150,0.01,0.02,-8.15,-100,23.88,156,46.3
