short,long,vol_target,atr_win,k,sl,tp,cooldown,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct,avg_pos_size
20,50,0.1,21,0.5,1ATR,3ATR,5,-5.38,-100,78.79,1030,30.26,0.085
20,100,0.1,14,0.5,1ATR,2ATR,5,-5.43,-100,82.91,1174,24.62,0.072
20,100,0.1,14,1,1ATR,3ATR,5,-5.45,-100,77.9,1000,28.32,0.149
20,100,0.2,14,0.5,1ATR,3ATR,5,-5.45,-100,77.9,1000,28.32,0.149
20,100,0.15,14,0.5,1ATR,3ATR,5,-5.46,-100,77.85,1000,28.32,0.116
10,50,0.15,14,0.5,1ATR,2ATR,5,-5.48,-100,85.1,1264,25.94,0.109
5,50,0.1,14,1,2ATR,0,0,-5.55,-100,53.19,498,47.72,0.251
5,50,0.2,14,0.5,2ATR,0,0,-5.55,-100,53.19,498,47.72,0.251
20,150,0.15,21,1,1ATR,3ATR,5,-5.56,-100,77.63,990,27.36,0.198
5,150,0.1,14,0.5,1ATR,3ATR,5,-5.57,-100,77.81,1000,29.33,0.083
20,50,0.15,21,0.5,1ATR,3ATR,5,-5.6,-100,78.84,1030,30.26,0.125
20,100,0.1,14,1,1ATR,2ATR,5,-5.6,-100,82.97,1174,24.62,0.133
20,100,0.2,14,0.5,1ATR,2ATR,5,-5.6,-100,82.97,1174,24.62,0.133
5,50,0.15,14,1,2ATR,0,0,-5.63,-100,53.42,498,47.72,0.337
5,50,0.2,21,1,1ATR,2ATR,0,-5.69,-100,95.8,2100,40.79,0.342
5,50,0.2,21,1,2ATR,2ATR,5,-5.69,-100,80.83,1090,31.88,0.267
10,100,0.15,14,1,1ATR,3ATR,5,-5.69,-100,78.05,1002,29.41,0.21
5,150,0.15,21,1,1ATR,3ATR,5,-5.71,-100,78.51,1016,28.96,0.209
20,100,0.15,14,0.5,1ATR,2ATR,5,-5.77,-100,82.94,1174,24.62,0.105
20,50,0.2,14,1,2ATR,2ATR,5,-5.79,-100,78.72,1020,30.63,0.256
5,50,0.15,14,0.5,2ATR,0,0,-5.81,-100,53.09,498,47.72,0.194
10,50,0.15,21,1,1ATR,2ATR,5,-5.83,-100,84.56,1236,26.53,0.192
10,150,0.15,21,1,1ATR,3ATR,5,-5.89,-100,77.25,978,28.06,0.201
10,50,0.2,21,1,2ATR,2ATR,5,-5.9,-100,78.87,1024,31.38,0.265
5,100,0.15,14,1,1ATR,3ATR,5,-5.96,-100,79.16,1036,30.31,0.215
10,100,0.2,21,1,1ATR,3ATR,5,-5.99,-100,78.58,1016,29.13,0.244
20,50,0.1,14,1,1ATR,3ATR,5,-5.99,-100,78.57,1020,30.42,0.159
20,50,0.2,14,0.5,1ATR,3ATR,5,-5.99,-100,78.57,1020,30.42,0.159
5,150,0.15,14,0.5,1ATR,3ATR,5,-6.02,-100,77.87,1000,29.33,0.121
20,50,0.1,14,0.5,1ATR,3ATR,5,-6.02,-100,78.48,1020,30.42,0.085
5,100,0.1,21,1,1ATR,3ATR,5,-6.04,-100,79.34,1044,30.06,0.159
5,100,0.2,21,0.5,1ATR,3ATR,5,-6.04,-100,79.34,1044,30.06,0.159
5,150,0.1,21,0.5,1ATR,3ATR,5,-6.08,-100,78.35,1016,28.96,0.082
5,100,0.1,21,1,1ATR,2ATR,5,-6.09,-100,84.31,1228,26.15,0.141
5,100,0.2,21,0.5,1ATR,2ATR,5,-6.09,-100,84.31,1228,26.15,0.141
5,100,0.2,21,1,2ATR,2ATR,5,-6.09,-100,78.35,1008,31.16,0.264
5,150,0.1,14,1,1ATR,3ATR,5,-6.09,-100,77.92,1000,29.33,0.155
5,150,0.2,14,0.5,1ATR,3ATR,5,-6.09,-100,77.92,1000,29.33,0.155
5,50,0.2,14,1,2ATR,0,0,-6.1,-100,53.67,498,47.72,0.396
5,50,0.1,14,0.5,2ATR,0,0,-6.13,-100,52.96,498,47.72,0.132
5,50,0.15,14,1,2ATR,3ATR,0,-6.14,-100,83.61,1194,44.71,0.308
20,150,0.2,21,1,2ATR,3ATR,5,-6.14,-100,69.42,778,32.03,0.267
10,50,0.1,14,0.5,1ATR,2ATR,5,-6.15,-100,85.08,1264,25.94,0.075
5,150,0.2,21,1,2ATR,3ATR,5,-6.19,-100,70.17,794,33.81,0.284
5,50,0.1,21,1,1ATR,0,0,-6.2,-100,61.67,630,47.06,0.251
5,50,0.2,21,0.5,1ATR,0,0,-6.2,-100,61.67,630,47.06,0.251
20,100,0.2,21,1,1ATR,3ATR,5,-6.3,-100,78.6,1016,28.02,0.235
5,50,0.2,14,1,2ATR,3ATR,5,-6.31,-100,74.57,900,36.35,0.297
10,50,0.2,21,1,1ATR,3ATR,5,-6.31,-100,79.99,1060,30.13,0.25
5,100,0.1,21,0.5,1ATR,3ATR,5,-6.34,-100,79.24,1044,30.06,0.084
5,50,0.15,21,1,2ATR,2ATR,5,-6.35,-100,80.81,1090,31.88,0.228
5,150,0.2,21,1,2ATR,2ATR,0,-6.35,-100,88.51,1428,41.32,0.348
5,50,0.15,21,0.5,1ATR,0,0,-6.36,-100,61.56,630,47.06,0.196
5,100,0.15,21,0.5,1ATR,3ATR,5,-6.41,-100,79.3,1044,30.06,0.124
10,50,0.2,14,1,2ATR,3ATR,5,-6.41,-100,71.52,824,35.64,0.293
5,100,0.15,21,0.5,1ATR,2ATR,5,-6.43,-100,84.28,1228,26.15,0.11
5,50,0.15,21,0.5,2ATR,0,0,-6.44,-100,53.57,504,47.72,0.198
5,50,0.15,21,1,1ATR,0,0,-6.44,-100,61.89,630,47.06,0.336
5,50,0.1,21,1,2ATR,0,0,-6.45,-100,53.71,504,47.72,0.254
5,50,0.2,21,0.5,2ATR,0,0,-6.45,-100,53.71,504,47.72,0.254
5,50,0.2,21,1,1ATR,0,0,-6.45,-100,62.06,630,47.06,0.395
20,150,0.15,14,1,2ATR,3ATR,5,-6.48,-100,68.97,770,32.26,0.228
